id,name,efb_path,mmel_id,pdf_pages,default_branch,conditions,rule_profile
M265,Обогрев статического порта F/O — левый,ATA 30 - Ice and rain protection → Static Heat → Left  F/o,30-31-03,279,"6 установлено, 4 требуется; FO heaters","ADR, обогреватели и предупреждения исправных позиций проверены работоспособными.; В обледенении при ADR2 OFF запрещён взлёт CONF1+F.",STATIC_HEAT
M266,Обогрев статического порта F/O — правый,ATA 30 - Ice and rain protection → Static Heat → Right  F/o,30-31-03,279,"6 установлено, 4 требуется; FO heaters","ADR, обогреватели и предупреждения исправных позиций проверены работоспособными.; В обледенении при ADR2 OFF запрещён взлёт CONF1+F.",STATIC_HEAT
M267,Обогрев статического порта STBY — левый,ATA 30 - Ice and rain protection → Static Heat → Left  Stby,30-31-03,279,"6 установлено, 5 требуется; один STBY",Допускается один STBY static heater.,STATIC_HEAT
M268,Обогрев статического порта STBY — правый,ATA 30 - Ice and rain protection → Static Heat → Right  Stby,30-31-03,279,"6 установлено, 5 требуется; один STBY",Допускается один STBY static heater.,STATIC_HEAT
M282,SFCC2 — канал закрылков,ATA 27 - Flight controls → Flap → Sfcc 2  Sys,27-51-01,180; 181; 182,1)a) CEO FLAP Channels,"Slats и flaps работают на SFCC1; WTB SFCC1 проверены перед каждым вылетом; питание SFCC2 flap channel отключено.; ELAC, SEC, ADIRS, LGCIU, FAC, RA и spoilers 2/4 исправны; minimum idle on ground function считается неработающей.",SFCC2_FLAP
M284,SFCC2 — канал предкрылков,ATA 27 - Flight controls → Slat → Sfcc 2  Sys,27-51-01,180; 181; 182,2)a) SLAT Channel без eRudder,"Slats и flaps работают на SFCC1; WTB SFCC1 проверены перед каждым вылетом; питание SFCC2 slat channel отключено.; ELAC, SEC, ADIRS, LGCIU, FAC и RA исправны; взлёт CONF1+F запрещён.",SFCC2_SLAT
M295,Демпфер рыскания — канал 1,ATA 27 - Flight controls → Yaw damper → Channel 1,22-63-01,60,1) System 1,System2 исправна; минимумы захода не требуют System1.,YAW_DAMPER
M296,Демпфер рыскания — канал 2,ATA 27 - Flight controls → Yaw damper → Channel 2,22-63-01,60,2) System 2,System1 исправна; минимумы захода не требуют System2; при утечке актуатора System2 деактивируется.,YAW_DAMPER
M317,Блок диагностики CFDIU,ATA 31 - Indicating/Recording system → CFDIU,31-30-01,288,"CFDS, основная строка","CFDS должен быть доступен, когда требуется для предусмотренных работ техобслуживания.",CFDIU
M320,Концентратор SDAC2,ATA 31 - Indicating/Recording system → SDAC → 2,31-55-01,291,"SDAC2: 2 установлено, 1 требуется",Допускается SDAC2; SDAC1 остаётся исправным.,SDAC2
M322,Компьютер предупреждений FWC2,ATA 31 - Indicating/Recording system → FWC → 2,31-53-01,291,1)/2) FWC2,Минимумы захода не требуют FWC2; при Mod.35542 steep approach не используется.,FWC2
M323,Речевой самописец CVR,ATA 31 - Indicating/Recording system → CVR,23-71-01,86,Основная строка,FDR исправен; устранение в течение 3 flight-days.,CVR
M327,DCDU CAPT,ATA 31 - Indicating/Recording system → DCDU → Capt,46-21-02,403,"2 установлено, 1 требуется",Допускается один DCDU.,DCDU
M328,DCDU F/O,ATA 31 - Indicating/Recording system → DCDU → Fo,46-21-02,403,"2 установлено, 1 требуется",Допускается один DCDU.,DCDU
