assessment_id,mmel_id,branch,mmel_title,status,models,engines,fenix_names,printed_pages,pdf_pages,note,fenix_evidence,tested_in_sim,approved_for_generation
F035,26-13-01,1) APU loops,APU Fire Detection System,K,A319/A320/A321 CEO,CFM56 / IAE V2500,APU Loop A; APU Loop B,26-2; 26-3,156; 157,Loop A/B имеют разные условия наземного наблюдения. Отказ обоих относится к другим строкам с неиспользуемым APU.,ALPHA_2021,False,False
F036,26-17-02,"SDCU, installed standard",Smoke Detection Control Unit (SDCU) (A319/A320/A321) (Without Mod. 30354 or without Mod. 33100),U,A319/A320/A321 CEO,CFM56 / IAE V2500,SDCU,26-7,161,Проверить CIDS/SDCU стандарт и охват потерянных каналов; не отождествлять с фактическим дымом.,ALPHA_2021,False,False
F037,27-22-01,Rudder Trim Systems,Rudder Trim Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Rudder trim channel 1; Rudder trim channel 2,27-6,178,Выбирать конкретный канал и проверять оставшееся управление.,ALPHA_2021,False,False
F038,27-23-01,"one system, without eRudder",Rudder Travel Limiter Systems (Aircraft without Mod 163323/ MP P20703 (eRudder)),K,A319/A320/A321 CEO,CFM56 / IAE V2500,Rudder travel limiter channel 1; Rudder travel limiter channel 2,27-6,178,MMEL допускает один из двух. В руководстве Fenix 2025 есть снимок активированного канала1.,ALPHA_2021 + LOCAL_GUIDE_2025_P21,False,False
F039,27-51-01,1)a) SFCC2 flap / 2)a) SFCC2 slat,Slat/Flap Control Computer (SFCC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,SFCC 2 flap sys; SFCC 2 slat sys,27-8; 27-9; 27-10,180; 181; 182,Для CEO документ называет канал SFCC2. Не переносить на SFCC1 или целиком SFCC2; условия испытаний WTB сохраняются.,ALPHA_2021,False,False
F040,27-51-01,SFCC1/full computer vs permitted channel,Slat/Flap Control Computer (SFCC),X,A319/A320/A321 CEO,CFM56 / IAE V2500,SFCC 1; SFCC 2,27-8; 27-9; 27-10,180; 181; 182,Общий отказ компьютера шире отдельного разрешённого канала. Нельзя автоматически применить один подпункт.,ALPHA_2021,False,False
F041,27-93-01,1) / 2) ELAC1,Elevator Aileron Computers (ELAC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,ELAC 1,27-22; 27-23,194; 195,ELAC1; ветвь зависит от модели/модификаций. ELAC2 и остальные перечисленные системы должны работать.,ALPHA_2021,False,False
F042,27-93-01,ELAC2 vs permitted ELAC1,Elevator Aileron Computers (ELAC),X,A319/A320/A321 CEO,CFM56 / IAE V2500,ELAC 2,27-22; 27-23,194; 195,Прочитанные разрешения относятся к ELAC1 либо его функции; симметрия по номеру недопустима.,ALPHA_2021,False,False
F043,27-94-01,1) SEC1 / 2) SEC2 / 3) SEC3,Spoiler Elevator Computers (SEC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,SEC 1; SEC 2; SEC 3,27-25; 27-26; 27-27; 27-28; 27-29; 27-30; 27-31; 27-32; 27-33; 27-34; 27-35,197; 198; 199; 200; 201; 202; 203; 204; 205; 206; 207,Нужны разные записи по SEC и комплектации. Для A320 Sharklets выделены отдельные подпункты; применяются требования к характеристикам AFM.,ALPHA_2021,False,False
F044,27-95-01,FCDC2 only,Flight Control Data Concentrators,K,A319/A320/A321 CEO,CFM56 / IAE V2500,FCDC 2,27-37,209,FAA разрешает FCDC2. Ветвь зависит от Mod.35542/steep approach; не смешивать с ELAC/SEC.,ALPHA_2021,False,False
F045,27-95-01,FCDC1 not covered by FCDC2 relief,Flight Control Data Concentrators,X,A319/A320/A321 CEO,CFM56 / IAE V2500,FCDC 1,27-37,209,Нельзя переносить разрешение FCDC2 на FCDC1.,ALPHA_2021,False,False
F046,28-15-01,1)a) LH / 1)b) RH,Outer to Inner TK Transfer Valves,U,A319/A320 CEO; A321 исключён,CFM56 / IAE V2500,Left transfer 1; Left transfer 2; Right transfer 1; Right transfer 2,28-4; 28-5,213; 214,Только outer-to-inner transfer: состояние открыто/закрыто определяет строку; не относится к A321.,ALPHA_2021,False,False
F047,28-21-01,Wing Tank Pumps,Wing Tank Pumps (Aircraft Fitted with Mod. 36387/MP J2487 or Aircraft Not Specified in Service Bulletin A320-28-1102),K,A319/A320/A321 CEO,CFM56 / IAE V2500,Fuel pump left 1; Fuel pump left 2; Fuel pump right 1; Fuel pump right 2,28-6; 28-7,215; 216,Уточнить Mod.36387/SB и число исправных насосов. Не отождествлять с утечкой бака.,ALPHA_2021,False,False
F048,28-21-02,"1)a) electric center pumps, no ACT",Center Tank Systems,U,A319/A320 CEO без transfer jet-pumps и без ACT,CFM56 / IAE V2500,Fuel pump center 1; Fuel pump center 2,28-7; 28-8; 28-9; 28-10,216; 217; 218; 219,"Только A319/A320 без Mod.154327. Для A321 требуются ветви transfer valves, а не этот отказ.",ALPHA_2021,False,False
F049,28-21-02,2)b) / 2)c) transfer valves,Center Tank Systems,U,A321 CEO; A319/A320 с Mod.154327,CFM56 / IAE V2500,,28-7; 28-8; 28-9; 28-10,216; 217; 218; 219,"В MMEL применимо к A321 и соответствующим A319/A320, но актуальное имя отдельного отказа Fenix не получено.",FAA_ONLY,False,False
F050,28-23-02,pushbutton lights vs crossfeed valve,CROSSFEED pb Switch,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Crossfeed valve,28-14,223,В FAA 28-23-02 относится к кнопке/лампам. Заклинивание crossfeed нельзя подменять неисправностью его индикации.,ALPHA_2021,False,False
F051,28-40-02,1) one FQI channel,Fuel Quantity Indicating Computer System,K,A319/A320/A321 CEO,CFM56 / IAE V2500,FQI Chan 1; FQI Chan 2,28-30; 28-31,239; 240,Сверить модификацию и ACT; отказ канала отличается от отдельной ошибки индикации количества.,ALPHA_2021,False,False
F052,29-10-01,depressurization vs failed engine pump,Engine Driven Pump Depressurization Function,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 pump failure; Eng 2 pump failure,29-1,264,"Разрешение относится к функции разгрузки, а не потере подачи гидронасоса.",ALPHA_2021,False,False
F053,29-10-02,1) automatic control vs total pump failure,Blue System Electric Pump,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Elec hyd pump blue failure,29-1,264,MMEL требует сохранения ручной работы насоса. Полный отказ Blue electric pump этому не соответствует.,ALPHA_2021,False,False
F054,29-23-01,1) automatic activation vs total PTU failure,Power Transfer Unit,X,A319/A320/A321 CEO,CFM56 / IAE V2500,PTU Fault,29-3,266,FAA рассматривает отказ автоматики при непрерывной работе PTU; передача мощности должна сохраняться. Общий PTU Fault не эквивалентен.,ALPHA_2021,False,False
F055,29-25-01,Yellow System Electric Pump,Yellow System Electric Pump,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Elec hyd pump yellow failure,29-3,266,"Прямой кандидат на отказ насоса; кнопка OFF, cargo doors требуют ручного обслуживания по MMEL.",ALPHA_2021,False,False
F056,29-30-03,indication vs hydraulic leak,ECAM HYD Page Indications,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Green hydraulic leak; Blue hydraulic leak; Yellow hydraulic leak,29-4; 29-5,267; 268,Пункт об индикации HYD не разрешает реальную потерю жидкости. Наличие утечки в Fenix подтверждено также руководством 2025.,ALPHA_2021,False,False
F057,30-11-01,wing anti-ice valve,Wing Anti-Ice Control Valves,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Left WAI Valve; Right WAI Valve,30-1; 30-2; 30-3,271; 272; 273,Разрешённые позиции и условия различны; stuck in current position нужно перевести в проверенный конкретный сценарий.,ALPHA_2021,False,False
F058,30-21-01,"CEO valve, CFM/IAE rows",Engine Anti-Ice Valves (A318/A319ceo/ A320ceo/A321ceo) (A318/A319ceo/ A320ceo/A321ceo with CFM or PW6000 engines) (A319ceo/A320ceo/ A321ceo with IAE engines) (A319neo/A320neo/ A321neo) (A319neo/A320neo/ A321neo) (A319neo/A320neo/ A321neo with CFM LEAP1-A Engines),U,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 EAI Valve; Eng 2 EAI Valve,30-5,275,Сначала определить открыто/закрыто. Ветка IAE при открытом клапане имеет дополнительное условие OAT; neo-ветви исключены.,ALPHA_2021,False,False
F059,30-31-01,2) F/O or STBY loss of heating,Probe Heat Computers,U,A319/A320/A321 CEO,CFM56 / IAE V2500,PHC 2; PHC 3,30-7,277,"Alpha определяет PHC как потерю обогрева: не использовать строку1, где обогрев должен оставаться исправным. Для F/O/STBY читать специальные строки.",ALPHA_2021,False,False
F060,30-31-01,1) retained heater operation vs PHC1 loss,Probe Heat Computers,X,A319/A320/A321 CEO,CFM56 / IAE V2500,PHC 1,30-7,277,Alpha PHC1 выключает обогрев CAPT. Строка1 требует исправный соответствующий heater; эквивалентность не доказана.,ALPHA_2021,False,False
F061,30-31-02,CAPT / F/O / STBY,Pitot Heaters,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Pitot heat Capt; Pitot heat F/O; Pitot heat STBY,30-8,278,Раздельные строки по месту установки; blockage не равно отказу обогрева.,ALPHA_2021,False,False
F062,30-31-03,"Static heaters, side and position",Static Port Heaters,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Left Static heat Capt; Right Static heat Capt; Left Static heat F/O; Right Static heat F/O; Left Static heat Stby; Right Static heat Stby,30-9,279,Не путать левый/правый порт с CAPT/F/O/STBY. В MMEL установлено шесть heaters.,ALPHA_2021,False,False
F063,30-31-04,"AOA heaters, CEO",Angle of Attack Probe Heaters (except A321neo XLR),K,A319/A320/A321 CEO,CFM56 / IAE V2500,AOA heat Capt; AOA heat F/O; AOA heat STBY,30-10,280,Выбирать отдельную позицию и её условия; отказ датчика AOA не тождественен heater.,ALPHA_2021,False,False
F064,30-31-05,"TAT heaters, 2 installed",TAT Probe Heaters,K,A319/A320/A321 CEO,CFM56 / IAE V2500,TAT heat Capt; TAT heat F/O,30-11,281,MMEL указывает два TAT heater; нужен актуальный список Fenix.,ALPHA_2021,False,False
F065,30-31-05,unsupported third TAT heater,TAT Probe Heaters,X,A319/A320/A321 CEO,CFM56 / IAE V2500,TAT heat STBY,30-11,281,"Alpha содержит STBY, но MMEL указывает два установленных TAT heater. Не создавать третий по устаревшему перечню.",ALPHA_2021,False,False
F066,30-42-01,Window Heat Computers,Window Heat Computers,U,A319/A320/A321 CEO,CFM56 / IAE V2500,WHC 1; WHC 2,30-11,281,"Проверить, какие обогреватели теряются и допустимость выбранной строки; не путать компьютер с отдельным стеклом.",ALPHA_2021,False,False
F067,31-30-01,CFDS,Centralized Fault Display System (CFDS),K,A319/A320/A321 CEO,CFM56 / IAE V2500,CFDIU,31-4,288,"Совпадает система диагностики; проверить, что отказ не шире CFDS.",ALPHA_2021,False,False
F068,31-53-01,FWC2 only,Flight Warning Computers (FWC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,FWC 2,31-7,291,"Документ разрешает FWC2, с условиями steep approach и минимумов.",ALPHA_2021,False,False
F069,31-53-01,FWC1 not covered by FWC2 relief,Flight Warning Computers (FWC),X,A319/A320/A321 CEO,CFM56 / IAE V2500,FWC 1,31-7,291,Нельзя переносить разрешение FWC2 на FWC1.,ALPHA_2021,False,False
F070,31-55-01,SDAC2 only,System Data Acquisition Concentrator Units (SDAC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,SDAC 2,31-7,291,MMEL явно называет SDAC2.,ALPHA_2021,False,False
F071,31-55-01,SDAC1 not covered by SDAC2 relief,System Data Acquisition Concentrator Units (SDAC),X,A319/A320/A321 CEO,CFM56 / IAE V2500,SDAC 1,31-7,291,Нельзя переносить разрешение SDAC2 на SDAC1.,ALPHA_2021,False,False
F072,31-56-01,ECAM Control Panel,ECAM Control Panel,U,A319/A320/A321 CEO,CFM56 / IAE V2500,ECP,31-8,292,"Уточнить, совпадает ли полный internal failure панели с разрешёнными функциями/ветвью.",ALPHA_2021,False,False
F073,31-63-01,1) PFDU2 / 2) NDU1 / 3) NDU2 / 4) SDU,Display Units (DU),K,A319/A320/A321 CEO,CFM56 / IAE V2500,DU F/O PFD; DU Capt ND; DU F/O ND; DU ECAM Lower,31-9; 31-10,293; 294,FAA перечисляет конкретные дисплеи. Для SDU отдельные Mod.36414/38111; остальные дисплеи должны быть исправны.,ALPHA_2021,False,False
F074,31-63-01,CAPT PFD and upper ECAM not listed,Display Units (DU),X,A319/A320/A321 CEO,CFM56 / IAE V2500,DU Capt PFD; DU ECAM Upper,31-9; 31-10,293; 294,PFDU1 и E/WDU не включены в прочитанные разрешения; не добавлять по аналогии с другими DU.,ALPHA_2021,False,False
F075,31-63-02,1) DMC1 / 2) DMC2 / 3) DMC3,Display Management Computers,U,A319/A320/A321 CEO,CFM56 / IAE V2500,DMC 1; DMC 2; DMC 3,31-11; 31-12,295; 296,Факт EIS2 не определяет S4-2/S7/S8-2 и автоматическое AC ESS switching. Требуется точная комплектация.,ALPHA_2021,False,False
F076,32-31-01,"1) LGCIU2 CEO, and relevant ACT branch",Landing Gear Control and Interface Unit No. 2 (LGCIU 2),K,A319/A320/A321 CEO,CFM56 / IAE V2500,LGCUI 2,32-1; 32-2; 32-3; 32-4; 32-5; 32-6; 32-7; 32-8; 32-9,297; 298; 299; 300; 301; 302; 303; 304; 305,В alpha опечатка LGCUI. FAA разрешает LGCIU2 с большим списком зависимостей; актуальное имя проверить.,ALPHA_2021,False,False
F077,32-31-01,LGCIU1 vs LGCIU2,Landing Gear Control and Interface Unit No. 2 (LGCIU 2),X,A319/A320/A321 CEO,CFM56 / IAE V2500,LGCUI 1,32-1; 32-2; 32-3; 32-4; 32-5; 32-6; 32-7; 32-8; 32-9,297; 298; 299; 300; 301; 302; 303; 304; 305,MMEL пункт озаглавлен LGCIU2; разрешение на LGCIU1 не переносится.,ALPHA_2021,False,False
F078,32-31-02,"retraction, gear down",Landing Gear Retraction System (except A321neo XLR),U,A319/A320/A321 CEO,CFM56 / IAE V2500,Gear locked down,32-9,305,Может соответствовать только после проверки истинного отказа уборки и всех условий; не равно Gear locked up.,ALPHA_2021,False,False
F079,32-42-01,one wheel brake,Main Wheel Braking Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Wheel brake fault 1; Wheel brake fault 2; Wheel brake fault 3; Wheel brake fault 4,32-10,306,"Разрешён один тормоз; требуется исправность antiskid, NWS и обоих reverser. AUTO/BRK считается неработающим последствием.",ALPHA_2021,False,False
F080,32-42-03,BSCU channels/systems,Braking/Steering Control Unit (BSCU) Channels/Systems,U,A319/A320/A321 CEO,CFM56 / IAE V2500,BSCU SYS 1; BSCU SYS 2,32-12; 32-13; 32-14; 32-15; 32-16,308; 309; 310; 311; 312,Нужны стандарт BSCU и модель самолёта. BSCU brake fault и отказ канала SYS не объединять.,ALPHA_2021,False,False
F081,32-42-04,main AUTO/BRK function,AUTO/BRK Function,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Autobrake failure,32-17,313,Обычное торможение должно сохраняться. Не выбирать подпункты ламп LO/MED/MAX вместо функции.,ALPHA_2021,False,False
F082,32-49-01,pressure indication vs low tyre pressure,ECAM Tire Pressure Indications,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Tyre pressure left 1 low,32-22,318,Низкое физическое давление не равно отказу индикатора давления.,ALPHA_2021,False,False
F083,34-10-01,4) ADR2 / 5) ADR3,ADIRS,K,A319/A320/A321 CEO,CFM56 / IAE V2500,ADR2 failure; ADR3 failure,34-2; 34-3; 34-4; 34-5; 34-6; 34-7; 34-8,336; 337; 338; 339; 340; 341; 342,Раздельные условия; ADR2 отличается ограничениями от ADR3.,ALPHA_2021,False,False
F084,34-10-01,ADR1 not covered by ADR2/3 relief,ADIRS,X,A319/A320/A321 CEO,CFM56 / IAE V2500,ADR1 failure,34-2; 34-3; 34-4; 34-5; 34-6; 34-7; 34-8,336; 337; 338; 339; 340; 341; 342,В прочитанном пункте указаны ADR2 и ADR3; нельзя автоматически разрешать ADR1.,ALPHA_2021,False,False
F085,34-10-01,1) IR1 NAV mode only,ADIRS,U,A319/A320/A321 CEO,CFM56 / IAE V2500,IR1 position failure,34-2; 34-3; 34-4; 34-5; 34-6; 34-7; 34-8,336; 337; 338; 339; 340; 341; 342,Требуется сохранение ATT; полный IR1 failure шире разрешения. Выбрать ветвь стандарта FMS.,ALPHA_2021,False,False
F086,34-10-01,"2) IR2 / 3) IR3, NAV or total as specified",ADIRS,U,A319/A320/A321 CEO,CFM56 / IAE V2500,IR2 position failure; IR3 position failure; IR2 IR failure; IR3 IR failure,34-2; 34-3; 34-4; 34-5; 34-6; 34-7; 34-8,336; 337; 338; 339; 340; 341; 342,Разделить NAV-only и полный отказ. Для IR2 учитываются стандарт FMS и модификации; не заменять IR1.,ALPHA_2021,False,False
F087,34-36-01,ILS systems,ILS Navigation Systems,U,A319/A320/A321 CEO,CFM56 / IAE V2500,ILS 1 G/S; ILS 1 LOC; ILS 2 G/S; ILS 2 LOC,34-15,349,"Канальный отказ приёмника и полный ILS различны. Localizer/Glideslope transmitter в alpha — отказ наземного средства, не бортового ILS.",ALPHA_2021,False,False
F088,34-41-01,Weather Radar Systems,Weather Radar Systems,U,A319/A320/A321 CEO,CFM56 / IAE V2500,,34-17,351,Наличие рабочего радара Fenix не доказывает возможность задать отдельный отказ; в alpha отдельного имени не найдено.,FAA_ONLY + FENIX_WEATHER_RADAR_SUPPORT,False,False
F089,34-42-01,1) RA1 / RA2 without eRudder,Radio Altimeter (RA) Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Radio altimeter 1; Radio altimeter 2,34-18; 34-19,352; 353,RA1/RA2 имеют разные сроки устранения; остальные перечисленные компьютеры должны работать.,ALPHA_2021,False,False
